index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
37,ATL,ORD,10:56:00,1,01:12:00,12:08:00,1,QA1276,QA,QAirline,17130,22672,
38,ATL,ORD,12:35:00,2,01:23:00,13:58:00,2,QA1366,QA,QAirline,17130,22672,
39,ATL,ORD,12:40:00,0,01:23:00,14:03:00,0,QA2964,QA,QAirline,17130,22672,
40,ATL,ORD,12:35:00,1,01:23:00,13:58:00,1,QA3552,QA,QAirline,17130,22672,
41,ATL,ORD,06:30:00,2,01:28:00,07:58:00,2,QA4512,QA,QAirline,17130,22672,
42,ATL,ORD,06:30:00,1,01:28:00,07:58:00,1,QA4634,QA,QAirline,17130,22672,
43,ATL,ORD,22:30:00,1,00:57:00,23:27:00,1,QA2770,QA,QAirline,17175,,
44,ATL,ORD,22:30:00,4,00:57:00,23:27:00,4,QA1145,QA,QAirline,17175,,
45,ATL,ORD,07:15:00,6,01:00:00,08:15:00,6,QA3795,QA,QAirline,17175,20465,
46,ATL,ORD,08:00:00,2,01:14:00,09:14:00,2,QA4798,QA,QAirline,17175,,
47,ATL,ORD,08:00:00,1,01:14:00,09:14:00,1,QA2494,QA,QAirline,17175,,
48,ATL,ORD,11:18:00,1,01:19:00,12:37:00,1,QA4670,QA,QAirline,17175,,
49,ATL,ORD,08:00:00,3,01:14:00,09:14:00,3,QA4335,QA,QAirline,17369,,
50,ATL,LHR,19:20:00,2,13:20:00,08:40:00,3,QA2877,QA,QAirline,103422,224440,544379
51,ATL,LHR,17:45:00,2,13:20:00,07:05:00,3,QA4982,QA,QAirline,103422,,
52,ATL,LHR,17:45:00,1,13:20:00,07:05:00,2,QA4695,QA,QAirline,103422,,
53,ATL,LHR,19:20:00,6,13:20:00,08:40:00,0,QA3966,QA,QAirline,103422,226226,
54,ATL,LHR,19:20:00,1,13:20:00,08:40:00,2,QA3930,QA,QAirline,103422,226226,
55,ATL,LHR,17:45:00,6,13:20:00,07:05:00,0,QA3133,QA,QAirline,103422,,
56,ATL,LHR,19:20:00,0,13:20:00,08:40:00,1,QA1039,QA,QAirline,103422,222552,
57,ATL,LHR,19:20:00,5,13:20:00,08:40:00,6,QA1516,QA,QAirline,108801,230513,
58,ATL,LHR,17:45:00,3,13:20:00,07:05:00,4,QA2207,QA,QAirline,108801,228683,
59,ATL,LHR,17:45:00,5,13:20:00,07:05:00,6,QA3055,QA,QAirline,108801,,
60,ATL,LHR,19:20:00,3,13:20:00,08:40:00,4,QA4769,QA,QAirline,108801,228683,
61,ATL,LHR,17:45:00,0,13:20:00,07:05:00,1,QA3515,QA,QAirline,114178,,
62,ATL,LHR,19:20:00,4,13:20:00,08:40:00,5,QA2985,QA,QAirline,119557,228683,781949
63,ATL,LHR,21:50:00,5,13:20:00,11:10:00,6,QA3920,QA,QAirline,159741,,
64,ATL,LHR,19:20:00,5,13:20:00,08:40:00,6,QA4033,QA,QAirline,159741,230513,
65,ATL,LHR,17:45:00,5,13:20:00,07:05:00,6,QA3056,QA,QAirline,159741,,
66,ATL,LHR,19:20:00,0,13:20:00,08:40:00,1,QA4233,QA,QAirline,160772,,661553
67,ATL,LHR,17:45:00,1,13:20:00,07:05:00,2,QA4638,QA,QAirline,160772,,787109
68,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,QA4712,QA,QAirline,160772,,644153
69,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,QA2399,QA,QAirline,160772,,648397
70,ATL,LHR,19:20:00,1,13:20:00,08:40:00,2,QA1784,QA,QAirline,160772,226226,
71,ATL,LHR,17:45:00,0,13:20:00,07:05:00,1,QA4024,QA,QAirline,160772,,648397
72,ATL,LHR,21:50:00,1,13:20:00,11:10:00,2,QA3895,QA,QAirline,161327,,
73,ATL,LHR,21:50:00,0,13:20:00,11:10:00,1,QA2215,QA,QAirline,161327,,
74,ATL,LHR,19:20:00,6,13:20:00,08:40:00,0,QA2886,QA,QAirline,161327,226226,
75,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,QA4195,QA,QAirline,104234,243873,
76,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,QA2214,QA,QAirline,107990,243873,
77,ATL,CDG,22:05:00,2,14:15:00,12:20:00,3,QA1901,QA,QAirline,107990,244810,
78,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,QA2073,QA,QAirline,107990,,625056
79,ATL,CDG,15:30:00,0,14:40:00,06:10:00,1,QA4395,QA,QAirline,107990,,625056
80,ATL,CDG,15:30:00,2,14:40:00,06:10:00,3,QA3962,QA,QAirline,107990,,625056
81,ATL,CDG,15:30:00,1,14:40:00,06:10:00,2,QA2545,QA,QAirline,107990,243873,
82,ATL,CDG,15:30:00,6,14:40:00,06:10:00,0,QA2607,QA,QAirline,107990,243873,
83,ATL,CDG,22:05:00,5,14:15:00,12:20:00,6,QA1644,QA,QAirline,113462,248104,
84,ATL,CDG,22:05:00,3,14:15:00,12:20:00,4,QA1446,QA,QAirline,113462,249054,
85,ATL,CDG,15:30:00,5,14:40:00,06:10:00,6,QA2280,QA,QAirline,113462,,
86,ATL,CDG,15:30:00,3,14:40:00,06:10:00,4,QA4756,QA,QAirline,113462,,
87,ATL,CDG,22:05:00,6,14:15:00,12:20:00,0,QA3298,QA,QAirline,160536,243873,
88,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,QA1781,QA,QAirline,160536,243873,661763
89,ATL,CDG,20:05:00,6,14:30:00,10:35:00,0,QA2676,QA,QAirline,161330,,662972
90,ATL,CDG,16:35:00,6,14:30:00,07:05:00,0,QA1492,QA,QAirline,166322,243873,661763
91,ATL,CDG,15:30:00,6,14:40:00,06:10:00,0,QA1560,QA,QAirline,166322,243873,
92,ATL,CDG,22:05:00,1,14:15:00,12:20:00,2,QA2570,QA,QAirline,166463,243873,
93,ATL,CDG,22:05:00,0,14:15:00,12:20:00,1,QA1550,QA,QAirline,166463,,
94,ATL,CDG,16:35:00,1,14:30:00,07:05:00,2,QA2863,QA,QAirline,166463,243873,
95,ATL,CDG,20:05:00,2,14:30:00,10:35:00,3,QA3141,QA,QAirline,166463,244810,620812
96,ATL,CDG,16:35:00,0,14:30:00,07:05:00,1,QA1524,QA,QAirline,166463,,
97,ATL,CDG,16:35:00,2,14:30:00,07:05:00,3,QA3853,QA,QAirline,166463,244810,620812
98,ATL,CDG,15:30:00,0,14:40:00,06:10:00,1,QA1263,QA,QAirline,166463,,
99,ATL,CDG,15:30:00,1,14:40:00,06:10:00,2,QA3233,QA,QAirline,166463,243873,
100,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,QA3258,QA,QAirline,106112,219544,
101,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,QA4038,QA,QAirline,106112,226253,625056
102,ATL,AMS,15:20:00,1,14:35:00,05:55:00,2,QA4864,QA,QAirline,106112,219544,
103,ATL,AMS,17:35:00,6,14:35:00,08:10:00,0,QA1125,QA,QAirline,106112,226253,625056
104,ATL,AMS,17:35:00,1,14:35:00,08:10:00,2,QA2816,QA,QAirline,106112,219544,
105,ATL,AMS,15:20:00,6,14:35:00,05:55:00,0,QA4720,QA,QAirline,106112,226253,625056
106,ATL,AMS,20:15:00,4,14:20:00,10:35:00,5,QA2654,QA,QAirline,111489,,
107,ATL,AMS,15:20:00,4,14:35:00,05:55:00,5,QA4702,QA,QAirline,111489,,
108,ATL,AMS,17:35:00,4,14:35:00,08:10:00,5,QA2499,QA,QAirline,111489,,
109,ATL,AMS,22:40:00,6,14:15:00,12:55:00,0,QA2313,QA,QAirline,162960,,
110,ATL,AMS,20:15:00,6,14:20:00,10:35:00,0,QA1968,QA,QAirline,162960,226253,
111,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,QA4729,QA,QAirline,162960,225034,
112,ATL,AMS,17:35:00,0,14:35:00,08:10:00,1,QA4521,QA,QAirline,162960,225034,625056
113,ATL,AMS,15:20:00,0,14:35:00,05:55:00,1,QA4990,QA,QAirline,162960,225034,
114,ATL,AMS,15:20:00,2,14:35:00,05:55:00,3,QA4798,QA,QAirline,162960,227156,
115,ATL,AMS,22:40:00,0,14:15:00,12:55:00,1,QA3739,QA,QAirline,163568,,
116,ATL,AMS,20:15:00,0,14:20:00,10:35:00,1,QA3964,QA,QAirline,163568,227156,620812
117,ATL,AMS,20:15:00,2,14:20:00,10:35:00,3,QA1261,QA,QAirline,163568,227156,
118,ATL,AMS,20:15:00,1,14:20:00,10:35:00,2,QA4867,QA,QAirline,163568,,
119,ATL,AMS,17:35:00,2,14:35:00,08:10:00,3,QA3443,QA,QAirline,163568,227156,
120,ATL,AMS,15:20:00,1,14:35:00,05:55:00,2,QA3882,QA,QAirline,163568,,
121,ATL,AMS,17:35:00,0,14:35:00,08:10:00,1,QA1537,QA,QAirline,163568,227156,
122,ATL,AMS,15:20:00,0,14:35:00,05:55:00,1,QA3540,QA,QAirline,163568,227156,620812
123,ATL,AMS,17:35:00,6,14:35:00,08:10:00,0,QA4032,QA,QAirline,163568,226253,
124,ATL,AMS,15:20:00,2,14:35:00,05:55:00,3,QA3291,QA,QAirline,163568,227156,532900
125,ATL,DFW,08:00:00,5,01:22:00,09:22:00,5,QA1958,QA,QAirline,7941,,
126,ATL,DFW,08:00:00,4,01:22:00,09:22:00,4,QA3901,QA,QAirline,7941,,
127,ATL,DFW,13:46:00,5,01:18:00,15:04:00,5,QA2856,QA,QAirline,7978,,
128,ATL,DFW,08:00:00,1,01:22:00,09:22:00,1,QA1439,QA,QAirline,10631,,
129,ATL,DFW,08:00:00,2,01:22:00,09:22:00,2,QA1944,QA,QAirline,10631,,
130,ATL,DFW,08:00:00,3,01:22:00,09:22:00,3,QA2662,QA,QAirline,10631,,
131,ATL,DFW,14:31:00,2,01:22:00,15:53:00,2,QA4432,QA,QAirline,10667,,
132,ATL,DFW,14:27:00,4,01:22:00,15:49:00,4,QA1324,QA,QAirline,12101,,
133,ATL,DFW,14:19:00,0,01:22:00,15:41:00,0,QA3149,QA,QAirline,12818,,
134,ATL,DFW,08:00:00,0,01:22:00,09:22:00,0,QA3562,QA,QAirline,14215,,
135,ATL,DFW,08:00:00,6,01:22:00,09:22:00,6,QA4047,QA,QAirline,14215,,
136,ATL,DFW,22:45:00,4,01:13:00,23:58:00,4,QA2588,QA,QAirline,16402,,
137,ATL,DFW,22:45:00,5,01:13:00,23:58:00,5,QA2150,QA,QAirline,16458,,
138,ATL,DFW,12:32:00,5,01:17:00,13:49:00,5,QA2982,QA,QAirline,16458,,
139,ATL,DFW,10:22:00,5,01:18:00,11:40:00,5,QA3813,QA,QAirline,16458,,
140,ATL,DFW,10:22:00,6,01:18:00,11:40:00,6,QA2600,QA,QAirline,16458,,
141,ATL,DFW,08:00:00,5,01:19:00,09:19:00,5,QA2982,QA,QAirline,16458,,
142,ATL,DFW,14:28:00,5,01:20:00,15:48:00,5,QA4636,QA,QAirline,16458,,
143,ATL,FRA,17:45:00,0,14:55:00,08:40:00,1,QA4685,QA,QAirline,107990,224697,
144,ATL,FRA,17:45:00,2,14:55:00,08:40:00,3,QA3169,QA,QAirline,107990,224697,625056
145,ATL,FRA,17:45:00,3,14:55:00,08:40:00,4,QA1952,QA,QAirline,107990,,1348021
146,ATL,FRA,17:45:00,1,14:55:00,08:40:00,2,QA3639,QA,QAirline,107990,226562,732668
147,ATL,FRA,17:45:00,5,14:55:00,08:40:00,6,QA1343,QA,QAirline,113462,,
148,ATL,FRA,17:45:00,6,14:55:00,08:40:00,0,QA1946,QA,QAirline,113462,,1134566
149,ATL,FRA,16:05:00,6,14:55:00,07:00:00,0,QA2261,QA,QAirline,164360,198872,
150,ATL,FRA,16:05:00,5,14:55:00,07:00:00,6,QA3092,QA,QAirline,164940,,618416
151,ATL,FRA,16:05:00,6,14:55:00,07:00:00,0,QA2480,QA,QAirline,165004,197279,794661
152,ATL,FRA,16:05:00,5,14:55:00,07:00:00,6,QA3481,QA,QAirline,165004,197279,617811
153,ATL,FRA,16:05:00,2,14:55:00,07:00:00,3,QA2632,QA,QAirline,166399,,
154,ATL,FRA,16:05:00,0,14:55:00,07:00:00,1,QA4758,QA,QAirline,166399,240032,745400
155,ATL,FRA,16:05:00,3,14:55:00,07:00:00,4,QA3198,QA,QAirline,166399,184423,
156,ATL,FRA,16:05:00,2,14:55:00,07:00:00,3,QA2423,QA,QAirline,166463,243537,879173
157,ATL,FRA,17:45:00,3,14:55:00,08:40:00,4,QA1158,QA,QAirline,166463,,1343778
158,ATL,FRA,17:45:00,2,14:55:00,08:40:00,3,QA1344,QA,QAirline,166463,,620812
159,ATL,FRA,17:45:00,0,14:55:00,08:40:00,1,QA2504,QA,QAirline,166463,,800569
160,ATL,FRA,17:45:00,1,14:55:00,08:40:00,2,QA4727,QA,QAirline,166463,226562,
161,ATL,FRA,16:05:00,0,14:55:00,07:00:00,1,QA3485,QA,QAirline,166463,243537,
162,ATL,FRA,16:05:00,3,14:55:00,07:00:00,4,QA3129,QA,QAirline,167103,185575,731053
163,ATL,FRA,17:45:00,4,14:55:00,08:40:00,5,QA2341,QA,QAirline,170392,,847856
164,ATL,FRA,17:45:00,4,14:55:00,08:40:00,5,QA1296,QA,QAirline,171024,,843613
165,ATL,FRA,17:45:00,5,14:55:00,08:40:00,6,QA4131,QA,QAirline,171024,,
166,ATL,FRA,17:45:00,6,14:55:00,08:40:00,0,QA1511,QA,QAirline,171024,461913,1180391
167,ATL,IST,22:10:00,2,17:30:00,15:40:00,3,QA2386,QA,QAirline,116648,,312122
168,ATL,IST,22:10:00,0,17:30:00,15:40:00,1,QA3961,QA,QAirline,116648,,309656
169,ATL,IST,22:10:00,1,17:30:00,15:40:00,2,QA1931,QA,QAirline,116648,,309656
170,ATL,IST,22:10:00,3,17:30:00,15:40:00,4,QA2169,QA,QAirline,120170,,529508
171,ATL,IST,22:10:00,6,17:30:00,15:40:00,0,QA2228,QA,QAirline,120852,,483335
172,ATL,IST,22:10:00,5,17:30:00,15:40:00,6,QA3740,QA,QAirline,121051,,360683
173,ATL,IST,22:10:00,4,17:30:00,15:40:00,5,QA2284,QA,QAirline,121051,,322238
174,ATL,DEN,06:55:00,6,01:20:00,08:15:00,6,QA2749,QA,QAirline,18245,,
175,ATL,DEN,21:03:00,6,01:27:00,22:30:00,6,QA3851,QA,QAirline,18245,,
176,ATL,DEN,07:05:00,5,01:15:00,08:20:00,5,QA4541,QA,QAirline,19248,,
177,ATL,DEN,06:35:00,3,01:20:00,07:55:00,3,QA1270,QA,QAirline,19248,,
178,ATL,DEN,06:51:00,4,01:20:00,08:11:00,4,QA2270,QA,QAirline,19248,,
179,ATL,DEN,21:04:00,4,01:27:00,22:31:00,4,QA1215,QA,QAirline,19248,,
180,ATL,DEN,21:42:00,5,01:27:00,23:09:00,5,QA3120,QA,QAirline,19248,,
181,ATL,DEN,20:48:00,3,01:28:00,22:16:00,3,QA4046,QA,QAirline,19248,,
182,ATL,DEN,07:05:00,1,01:15:00,08:20:00,1,QA2928,QA,QAirline,21619,,
183,ATL,DEN,06:57:00,2,01:20:00,08:17:00,2,QA1778,QA,QAirline,21619,,
184,ATL,DEN,06:55:00,0,01:20:00,08:15:00,0,QA1288,QA,QAirline,21619,,
185,ATL,DEN,21:08:00,1,01:27:00,22:35:00,1,QA4111,QA,QAirline,21619,,
186,ATL,DEN,21:09:00,2,01:27:00,22:36:00,2,QA2672,QA,QAirline,21619,,
187,ATL,DEN,21:08:00,0,01:27:00,22:35:00,0,QA3927,QA,QAirline,21619,,
188,ATL,DEN,08:31:00,5,01:20:00,09:51:00,5,QA1068,QA,QAirline,23636,30308,
189,ATL,DEN,22:36:00,4,01:13:00,23:49:00,4,QA3627,QA,QAirline,23676,38883,
190,ATL,DEN,20:50:00,6,01:13:00,22:03:00,6,QA3066,QA,QAirline,23676,34639,
191,ATL,DEN,22:36:00,6,01:13:00,23:49:00,6,QA4133,QA,QAirline,23676,38034,
192,ATL,DEN,20:50:00,4,01:13:00,22:03:00,4,QA1798,QA,QAirline,23676,38883,
193,ATL,DEN,20:50:00,5,01:14:00,22:04:00,5,QA4433,QA,QAirline,23682,35576,
194,ATL,DEN,12:35:00,1,01:03:00,13:38:00,1,QA3377,QA,QAirline,25971,,
195,ATL,DEN,08:10:00,0,01:07:00,09:17:00,0,QA4731,QA,QAirline,25971,,
196,ATL,DEN,20:50:00,1,01:13:00,22:03:00,1,QA3405,QA,QAirline,25971,,
197,ATL,DEN,20:50:00,0,01:13:00,22:03:00,0,QA3703,QA,QAirline,25971,,
198,ATL,DEN,22:36:00,0,01:13:00,23:49:00,0,QA4231,QA,QAirline,25971,37780,
199,ATL,JFK,07:14:00,4,02:15:00,09:29:00,4,QA2894,QA,QAirline,8830,,
200,ATL,JFK,17:04:00,0,02:25:00,19:29:00,0,QA2335,QA,QAirline,11519,,
201,ATL,JFK,07:14:00,2,02:15:00,09:29:00,2,QA1737,QA,QAirline,13312,,
202,ATL,JFK,07:14:00,1,02:15:00,09:29:00,1,QA2339,QA,QAirline,13312,,
203,ATL,JFK,12:31:00,2,02:22:00,14:53:00,2,QA4553,QA,QAirline,13312,,
204,ATL,JFK,19:28:00,1,02:26:00,21:54:00,1,QA3393,QA,QAirline,13312,,
205,ATL,JFK,19:28:00,2,02:26:00,21:54:00,2,QA4761,QA,QAirline,13312,,
206,ATL,JFK,17:04:00,2,02:25:00,19:29:00,2,QA1959,QA,QAirline,14208,,
207,ATL,JFK,12:45:00,2,02:24:00,15:09:00,2,QA3228,QA,QAirline,15520,27425,
208,ATL,JFK,14:20:00,2,02:28:00,16:48:00,2,QA3342,QA,QAirline,15520,27425,
209,ATL,JFK,21:29:00,1,02:30:00,23:59:00,1,QA4465,QA,QAirline,15520,27647,
210,ATL,JFK,21:29:00,2,02:30:00,23:59:00,2,QA4787,QA,QAirline,15520,27425,
211,ATL,JFK,08:45:00,1,02:15:00,11:00:00,1,QA4690,QA,QAirline,15561,27424,
212,ATL,JFK,10:03:00,1,02:25:00,12:28:00,1,QA2966,QA,QAirline,15561,27647,
213,ATL,JFK,21:29:00,0,02:30:00,23:59:00,0,QA2972,QA,QAirline,15561,27425,
214,ATL,JFK,08:45:00,2,02:15:00,11:00:00,2,QA4108,QA,QAirline,16458,,
215,ATL,JFK,10:03:00,2,02:25:00,12:28:00,2,QA1808,QA,QAirline,16458,27425,
216,ATL,JFK,07:14:00,1,02:15:00,09:29:00,1,QA3868,QA,QAirline,16674,,
217,ATL,JFK,19:28:00,2,02:26:00,21:54:00,2,QA4696,QA,QAirline,16674,,
218,ATL,JFK,19:28:00,1,02:26:00,21:54:00,1,QA2514,QA,QAirline,16674,,
219,ATL,JFK,21:29:00,5,02:30:00,23:59:00,5,QA2671,QA,QAirline,16893,29547,
220,ATL,JFK,19:45:00,5,02:31:00,22:16:00,5,QA3185,QA,QAirline,16893,29547,
221,ATL,JFK,18:25:00,5,02:35:00,21:00:00,5,QA4381,QA,QAirline,16893,29547,
222,ATL,JFK,18:25:00,4,02:35:00,21:00:00,4,QA4876,QA,QAirline,16893,,
223,ATL,JFK,17:04:00,5,02:25:00,19:29:00,5,QA3043,QA,QAirline,16896,,
224,ATL,SFO,22:09:00,6,02:03:00,00:12:00,0,QA3332,QA,QAirline,43749,114131,
225,ATL,SFO,12:00:00,5,01:54:00,13:54:00,5,QA2184,QA,QAirline,45326,,
226,ATL,SFO,12:00:00,6,01:54:00,13:54:00,6,QA1702,QA,QAirline,45326,,
227,ATL,SFO,12:00:00,4,01:54:00,13:54:00,4,QA3994,QA,QAirline,45326,,
228,ATL,SFO,08:34:00,5,01:59:00,10:33:00,5,QA1461,QA,QAirline,45326,,
229,ATL,SFO,08:34:00,4,01:59:00,10:33:00,4,QA2059,QA,QAirline,45326,,
230,ATL,SFO,22:09:00,4,02:03:00,00:12:00,5,QA3257,QA,QAirline,45326,62648,
231,ATL,SFO,10:00:00,6,02:03:00,12:03:00,6,QA3233,QA,QAirline,45326,118401,
232,ATL,SFO,22:09:00,5,02:03:00,00:12:00,6,QA2437,QA,QAirline,45326,,
233,ATL,SFO,10:00:00,4,02:03:00,12:03:00,4,QA2882,QA,QAirline,45326,62648,
234,ATL,SFO,10:00:00,5,02:03:00,12:03:00,5,QA2463,QA,QAirline,45326,,
235,ATL,SFO,14:50:00,4,02:04:00,16:54:00,4,QA2437,QA,QAirline,45326,,
236,ATL,SFO,14:50:00,6,02:04:00,16:54:00,6,QA4997,QA,QAirline,45326,,
237,ATL,SFO,19:25:00,4,02:05:00,21:30:00,4,QA4108,QA,QAirline,45326,62648,
238,ATL,SFO,17:10:00,5,02:05:00,19:15:00,5,QA3507,QA,QAirline,45326,124045,
239,ATL,SFO,17:10:00,4,02:05:00,19:15:00,4,QA3964,QA,QAirline,45326,,
240,ATL,SFO,19:25:00,6,02:05:00,21:30:00,6,QA2597,QA,QAirline,45326,114131,
241,ATL,SFO,17:10:00,6,02:05:00,19:15:00,6,QA3960,QA,QAirline,45326,,
242,ATL,SFO,15:25:00,5,02:07:00,17:32:00,5,QA3347,QA,QAirline,45326,,
243,ATL,SFO,19:32:00,4,02:13:00,21:45:00,4,QA1035,QA,QAirline,45380,55773,
244,ATL,SFO,19:32:00,5,02:13:00,21:45:00,5,QA3866,QA,QAirline,45438,60017,
245,ATL,SFO,19:32:00,6,02:13:00,21:45:00,6,QA1176,QA,QAirline,46189,56622,
246,ATL,SFO,12:00:00,2,01:54:00,13:54:00,2,QA3513,QA,QAirline,54404,,
247,ATL,SFO,12:00:00,1,01:54:00,13:54:00,1,QA3789,QA,QAirline,54404,,
248,ATL,SFO,08:34:00,0,01:59:00,10:33:00,0,QA1896,QA,QAirline,54404,,
249,ATL,MAD,18:10:00,6,14:35:00,08:45:00,0,QA3766,QA,QAirline,104234,,
250,ATL,MAD,18:10:00,0,14:35:00,08:45:00,1,QA1722,QA,QAirline,104234,,551746
251,ATL,MAD,18:10:00,2,14:35:00,08:45:00,3,QA3214,QA,QAirline,104234,,734230
252,ATL,MAD,18:10:00,5,14:35:00,08:45:00,6,QA4318,QA,QAirline,109516,,
253,ATL,MAD,18:10:00,1,14:35:00,08:45:00,2,QA1954,QA,QAirline,160647,,530527
254,ATL,MAD,18:10:00,0,14:35:00,08:45:00,1,QA2977,QA,QAirline,160673,,611701
255,ATL,MAD,18:10:00,2,14:35:00,08:45:00,3,QA3471,QA,QAirline,160673,,530527
256,ATL,MAD,18:10:00,6,14:35:00,08:45:00,0,QA4255,QA,QAirline,160673,454987,
257,ATL,MAD,18:10:00,1,14:35:00,08:45:00,2,QA3956,QA,QAirline,160673,,
258,ATL,MAD,18:10:00,4,14:35:00,08:45:00,5,QA2659,QA,QAirline,164465,,746961
259,ATL,MAD,18:10:00,3,14:35:00,08:45:00,4,QA4818,QA,QAirline,164465,,746961
260,ATL,MAD,18:10:00,5,14:35:00,08:45:00,6,QA2349,QA,QAirline,164465,,
261,ATL,MAD,18:10:00,3,14:35:00,08:45:00,4,QA1814,QA,QAirline,164465,,
262,ATL,MAD,18:10:00,4,14:35:00,08:45:00,5,QA1449,QA,QAirline,164465,,738474
263,ATL,MAD,18:10:00,0,14:35:00,08:45:00,1,QA1680,QA,QAirline,168197,,
264,ATL,MAD,18:10:00,0,14:35:00,08:45:00,1,QA1457,QA,QAirline,168197,,
265,ATL,MAD,18:10:00,1,14:35:00,08:45:00,2,QA3628,QA,QAirline,168794,,
266,ATL,MAD,18:10:00,6,14:35:00,08:45:00,0,QA3866,QA,QAirline,168794,,
267,ATL,MAD,18:10:00,1,14:35:00,08:45:00,2,QA2898,QA,QAirline,168794,,
268,ATL,MAD,18:10:00,4,14:35:00,08:45:00,5,QA1382,QA,QAirline,172744,,
269,ATL,MAD,18:10:00,3,14:35:00,08:45:00,4,QA2567,QA,QAirline,172744,,
